Unnamed: 0,Search Term,Address,Status
0,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE","Adresse : 9000 Rockville Pike, Bethesda, MD 20892, Vereinigte Staaten",Found
1,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,"Adresse : 5601 Fishers Lane, Rockville, MD 20852, Vereinigte Staaten",Found
2,OSTIIO LLC,"Adresse : 1209 Orange St, Wilmington, DE 19801, Vereinigte Staaten",Found
3,University of Michigan,"Adresse : 500 S State St, Ann Arbor, MI 48109, Vereinigte Staaten",Found
4,University of Wisconsin-Madison,"Adresse : 500 Lincoln Dr, Madison, WI 53706, Vereinigte Staaten",Found
5,Emory University,"Adresse : 201 Dowman Dr, Atlanta, GA 30322, Vereinigte Staaten",Found
6,University of Idaho,"Adresse : 875 Perimeter Dr, Moscow, ID 83844, Vereinigte Staaten",Found
7,University of Wyoming,"Adresse : 1000 E University Ave, Laramie, WY 82071, Vereinigte Staaten",Found
8,Bowling Green State University,"Adresse : 1001 E Wooster St, Bowling Green, OH 43403, Vereinigte Staaten",Found
9,Western Washington University,"Adresse : 516 High St, Bellingham, WA 98225, Vereinigte Staaten",Found
10,Case Western Reserve University,"Adresse : 10900 Euclid Ave, Cleveland, OH 44106, Vereinigte Staaten",Found
11,Lawrence Technological University,"Adresse : 21000 W 10 Mile Rd, Southfield, MI 48075, Vereinigte Staaten",Found
12,Yale University,"Adresse : New Haven, CT 06520, Vereinigte Staaten",Found
13,Johns Hopkins University,"Adresse : Baltimore, MD 21218, Vereinigte Staaten",Found
14,"Board of Regents, NSHE,","Adresse : 2601 Enterprise Rd, Reno, NV 89512, Vereinigte Staaten",Found
15,Incorporated Research Institutions for Seismology,"Adresse : 1200 New York Ave NW, Washington, DC 20005, Vereinigte Staaten",Found
16,John Carroll University,"Adresse : 1 John Carroll Blvd, University Heights, OH 44118, Vereinigte Staaten",Found
17,Illinois Wesleyan University,"Adresse : 1312 Park St, Bloomington, IL 61701, Vereinigte Staaten",Found
18,Woods Hole Oceanographic Institution,"Adresse : 266 Woods Hole Rd, Woods Hole, MA 02543, Vereinigte Staaten",Found
19,Washington University,"Adresse : 1 Brookings Dr, St. Louis, MO 63130, Vereinigte Staaten",Found
20,New Mexico Institute of Mining and Technology,"Adresse : 801 Leroy Pl, Socorro, NM 87801, Vereinigte Staaten",Found
21,Rice University,"Adresse : 6100 Main St, Houston, TX 77005, Vereinigte Staaten",Found
