old_name,new_name
UNIVERSITY OF MICHIGAN AT ANN ARBOR,University of Michigan
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,University of Pittsburgh
COLUMBIA UNIVERSITY HEALTH SCIENCES,Columbia University
NORTHWESTERN UNIVERSITY AT CHICAGO,Northwestern University
WEILL MEDICAL COLL OF CORNELL UNIV,Weill Cornell Medicine
Regents of the University of Michigan - Ann Arbor,University of Michigan
Pennsylvania State Univ University Park,Pennsylvania State University
MAYO CLINIC ROCHESTER,Mayo Clinic
Virginia Polytechnic Institute and State University,Virginia Tech
RUTGERS BIOMEDICAL AND HEALTH SCIENCES,Rutgers University
UNIV OF MASSACHUSETTS MED SCH WORCESTER,University of Massachusetts Chan Medical School
University of Minnesota-Twin Cities,University of Minnesota
SLOAN-KETTERING INST CAN RESEARCH,Memorial Sloan Kettering Cancer Center
BOSTON UNIVERSITY MEDICAL CAMPUS,Boston University
WAKE FOREST UNIVERSITY HEALTH SCIENCES,Wake Forest University
CLEVELAND CLINIC LERNER COM-CWRU,Cleveland Clinic
Rutgers University New Brunswick,Rutgers University
William Marsh Rice University,Rice University
STATE UNIVERSITY NEW YORK STONY BROOK,Stony Brook University
SUNY at Stony Brook,Stony Brook University
Georgia Tech Research Corporation,Georgia Institute of Technology
UNIVERSITY OF MISSOURI-COLUMBIA,UNIVERSITY OF MISSOURI-COLUMBIA
TEMPLE UNIV OF THE COMMONWEALTH,Temple University
Trustees of Boston University,Boston University
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),Boston University
SUNY at Buffalo,University at Buffalo
PENNSYLVANIA STATE UNIV HERSHEY MED CTR,Penn State Milton S. Hershey Medical Center
HARVARD UNIVERSITY D/B/A HARVARD SCHOOL OF PUBLIC HEALTH,Harvard University
VIRGINIA POLYTECHNIC INST AND ST UNIV,Virginia Tech
UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,UNIVERSITY OF CONNECTICUT School OF Medical/DNT
BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,BECKMAN RESEARCH INSTITUTE/CITY OF HOPE
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,UNIVERSITY OF SOUTH CAROLINA
University of Oklahoma Norman Campus,University of Oklahoma Norman Campus
University of Alabama Tuscaloosa,University of Alabama Tuscaloosa
University of Kentucky Research Foundation,University of Kentucky Research Foundation
University of South Carolina at Columbia,University of South Carolina
University of Kansas Center for Research Inc,University of Kansas
KAISER FOUNDATION RESEARCH INSTITUTE,Kaiser Permanente
TRUSTEES OF INDIANA UNIVERSITY,INDIANA UNIVERSITY
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,RESEARCH Institute NATIONWIDE CHILDREN'S Hospital
"Board of Regents, NSHE, obo University of Nevada, Reno","Board of Regents, NSHE,"
The University of Central Florida Board of Trustees,University of Central Florida
COLUMBIA UNIV NEW YORK MORNINGSIDE,Columbia University
H. LEE MOFFITT CANCER CTR & RES INST,H. LEE MOFFITT CANCER Center & RES Institute
"NEW YORK STATE PSYCHIATRIC INSTITUTE DBA RESEARCH FOUNDATION FOR MENTAL HYGIENE, INC",NEW YORK STATE PSYCHIATRIC INSTITUTE
UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,University of Vermont
University of California-San Diego Scripps Inst of Oceanography,University of California-San Diego Scripps Institute of Oceanography
METHODIST HOSPITAL RESEARCH INSTITUTE,METHODIST HOSPITAL RESEARCH INSTITUTE
University of Missouri-Columbia,University of Missouri-Columbia
SUNY at Binghamton,Binghamton University
LURIE CHILDREN'S HOSPITAL OF CHICAGO,LURIE CHILDREN'S HOSPITAL OF CHICAGO
,
VA BOSTON HEALTH CARE SYSTEM,VA BOSTON HEALTH CARE SYSTEM
ROSWELL PARK CANCER INSTITUTE CORP,ROSWELL PARK CANCER INSTITUTE Corporation
Board of Trustees of the University of Illinois,University of Illinois
MAYO CLINIC  JACKSONVILLE,Mayo Clinic
VETERANS AFFAIRS MED CTR SAN FRANCISCO,VETERANS AFFAIRS Medical Center SAN FRANCISCO
University of Vermont & State Agricultural College,University of Vermont
J. DAVID GLADSTONE INSTITUTES,J. DAVID GLADSTONE INSTITUTES
UNIVERSITY OF KANSAS LAWRENCE,UNIVERSITY OF KANSAS LAWRENCE
College of William and Mary,William & Mary
