"('context', 'inst_name')",count,ror_category
BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,195,healthcare
,93,other
VA BOSTON HEALTH CARE SYSTEM,92,healthcare
J. DAVID GLADSTONE INSTITUTES,79,nonprofit
VAN ANDEL RESEARCH INSTITUTE,70,nonprofit
TEXAS A&M AGRILIFE RESEARCH,68,education
VETERANS ADMIN PALO ALTO HEALTH CARE SYS,68,healthcare
HUGO W. MOSER RES Institute KENNEDY KRIEGER,49,healthcare
FEDERATION OF AMER SOC FOR EXPER BIOLOGY,48,nonprofit
SCHEPENS EYE RESEARCH INSTITUTE,45,nonprofit
NORTHERN CALIFORNIA INSTITUTE/RES/EDU,39,nonprofit
LUNDQUIST INSTITUTE FOR BIOMEDICAL INNOVATION AT HARBOR-UCLA,39,nonprofit
FATHER FLANAGAN'S BOYS' HOME,38,nonprofit
KEYSTONE SYMPOSIA,32,nonprofit
Texas A&M AgriLife Research,32,education
BATTELLE PACIFIC NORTHWEST LABORATORIES,30,facility
REHABILITATION INSTITUTE OF CHICAGO D/B/A SHIRLEY RYAN ABILITYLAB,29,healthcare
NATHAN S. KLINE INSTITUTE FOR PSYCH RES,28,government
"Nevada System of Higher Education, Desert Research Institute",28,education
HEBREW REHABILITATION CENTER FOR AGED,27,healthcare
JAMES A. HALEY VA,26,healthcare
Carnegie Institution of Washington,25,nonprofit
ENDEAVOR HEALTH CLINICAL OPERATIONS,24,healthcare
American Institutes for Research in the Behavioral Sciences,20,nonprofit
"NorthWest Research Associates, Incorporated",19,company
WINIFRED MASTERSON BURKE Medical RES Institute,18,nonprofit
HEALTHPARTNERS INSTITUTE,15,healthcare
SCINTILLON INSTITUTE FOR PHOTOBIOLOGY,12,nonprofit
U.S. DEPT/VETS AFFAIRS,12,government
OREGON RES BEHAVIORAL INTERVENTION STRAT,12,nonprofit
PONCE,11,education
UCLA Compter Science,11,education
THE TRUSTEES OF THE STEVENS INSTITUTE OF TECHNOLOGY,11,education
UC Santa Barbara,10,education
PPD DEVELOPMENT LP,10,company
Digital Promise Global,9,nonprofit
Chico State Enterprises,9,education
USC Department of Earth Sciences,9,education
Battelle Memorial Institute,9,nonprofit
Boyce Thompson Institute Plant Research,8,nonprofit
BLOODWORKS,8,healthcare
Woods Hole Research Center,8,nonprofit
"CARNEGIE INSTITUTION OF WASHINGTON, D.C.",8,nonprofit
UNIVERSIDAD CENTRAL DEL CARIBE,8,education
CLEMENT J. ZABLOCKI VA,7,healthcare
INOVA HEALTH CARE SERVICES,7,healthcare
CALIFORNIA POLY STATE U SAN LUIS OBISPO,6,education
VISITING NURSE SERVICE OF NEW YORK,6,healthcare
INTEGRAL MOLECULAR,6,company
CENTRE/AIDS PROGRAMME/RES/SOUTH AFRICA,6,nonprofit
NCAR,6,facility
CALIFORNIA STATE POLY U POMONA,6,education
CALIFORNIA STATE DEPT/FOOD/AGRICULTURE,6,government
MISSOURI STATE DEPT/ HEALTH & SENIOR SRV,6,government
UC Riverside,6,education
OLIN TEAGUE VETERANS CENTER,5,healthcare
KY ST CABINET/HEALTH/FAMILY SERVICES,5,government
COLORADO STATE DEPARTMENT/AGRICULTURE,5,government
AVERA MCKENNAN,5,healthcare
INTERNATIONAL Center/DIARRHOEAL DIS RES,5,nonprofit
WISCONSIN DEPT/AGRI/TRADE/CONSUM/ PROT,5,government
TERASAKI INSTITUTE FOR BIOMEDICAL INNOVATION,5,nonprofit
KWAZULU-NATAL RESEARCH INSTITUTE TB-HIV,5,nonprofit
Predictive Science Incorporated,5,company
NATIONAL PARTNERSHIP/ENVIRONMNTL/TECH/ED,4,nonprofit
SANFORD RESEARCH NORTH,4,nonprofit
SUNY Stony Brook,4,education
BATTELLE CENTERS/PUB HLTH RES & EVALUATN,4,nonprofit
HUMAN CELL CO,4,company
Institute for Astronomy,4,education
U.S. NATIONAL Institute/CHILD HLTH/HUMAN DEV,4,nonprofit
U.S. NATIONAL Institute DIABETES/DIGST/KIDNEY,4,nonprofit
FISHING PARTNERSHIP HEALTH PLAN,4,healthcare
LOUISIANA STATE OFFICE OF PUBLIC HEALTH,4,government
ALASKA STATE DEPT/ENVIRONMTL CONSERVATN,4,government
COLORADO STATE DEPT/PUB HLTH & ENVIRONMT,4,government
RBHS -CANCER INSTITUTE OF NEW JERSEY,4,education
Henry Administration Building,4,education
The Citadel,4,education
Hawaii Institute of Marine Biology,4,education
OSU CENTER FOR,4,education
NEW JERSEY STATE DEPT/HEALTH/SENIOR SRVS,4,government
UCLA Physics and Astronomy,4,education
PARTNERSHIP TO END ADDICTION,4,nonprofit
Atmospheric & Space Tech Research Associates,4,company
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,4,company
VA ST DEPT/ AGRICULTURE & CONSUMER SRVS,4,government
UCLA Computer Science Dept.,3,education
UCLA,3,education
IAS,3,nonprofit
CodeVA,3,nonprofit
MU-JHU CARE,3,nonprofit
UNC Charlotte,3,education
U.S. NATIONAL Institute/NEURO/DS/STROKE,3,nonprofit
Inter-American Institute for Global Change Research,3,nonprofit
CAPTIS DIAGNOSTICS,3,company
Tufts CEEO,3,education
KECK GRADUATE Institute OF APPLIED LIFE SCIS,3,education
"BIOSTRATEGIES, LC",3,company
"UCLA Earth, Planetary, and Space Sciences",3,education
"KASA BIO, L.L.C.",3,company
BLACKROCK MICROSYSTEMS,3,company
NORTH AMERICAN ASSN/CENTRAL CANCER REG,3,nonprofit
WABANAKI HEALTH AND WELLNESS,3,nonprofit
UC Santa Cruz,3,education
FLANDERS INTERUNIV Institute BIOTECHNOLOGY,3,nonprofit
UT Austin,3,education
UC San Diego,3,education
FLINT REHABILITATION DEVICES,3,company
INTEGRATED MEDICAL SENSORS,3,company
VA NEW YORK HARBOR HLTHCARE/SYS/BROOKLYN,3,healthcare
USC-Information Sciences Institute,3,education
The Quilt,3,nonprofit
STRATTON VETERANS ADMIN,3,healthcare
GLOBAL FOOD PROTECTION INSTITUTE D/B/A INTERNATIONAL FOOD PROTECTION TRAINING INSTITUTE,3,nonprofit
UTAH DEPARTMENT OF AGRICULTURE/FOOD,3,government
PROTEOGENOMICS RESEARCH INSTIT/SYS/ Medical,3,other
NH STATE DEPT/HLTH STATISTICS/DATA MGMT,3,government
3D MOLECULAR DESIGNS,3,company
WEST VIRGINIA STATE DEPT HLTH/HUMAN RSCS,3,government
IMPLENOMICS LLCS,3,company
INSTITUTE FOR BASIC RES IN DEV DISABIL,3,government
ALBUQUERQUE VA,3,healthcare
Higher Education Policy Commission,3,government
FORT BELKNAP INDIAN COMMUNITY,2,government
BOOZ ALLEN HAMILTON,2,company
BIOINDUSTRIAL MANUFACTURING AND DESIGN ECOSYSTEM,2,nonprofit
INTER-AMERICAN INSTITUTE FOR COOPERATION ON AGRICULTURE -IICA,2,nonprofit
ARIZONA STATE DEPARTMENT OF AGRICULTURE,2,government
NEPHROPATHOLOGY ASSOCIATES,2,company
THE BEAUTYWELL PROJECT,2,nonprofit
"DELOITTE CONSULTING, LLP",2,company
KATHOLIEKE UNIVERSITEIT LEUVEN,2,education
POLYPEPTIDE LABORATORIES SAN DIEGO,2,company
FOOD & AGRICULTURAL ORG/UNITED NATIONS,2,government
NC STATE DEPT/HLTH & HUMAN SERVICES,2,government
NURELM E-BUSINESS SOFTWARE,2,company
Scripps Florida,2,nonprofit
AG BELL ASSN FOR DEAF & HARD OF HEARING,2,nonprofit
IOWA STATE DEPT/ INSPECTIONS AND APPEALS,2,government
"Sistema Universitario Ana G. Mendez, Incorporado",2,education
ARIETIS,2,company
BIOSURFACES,2,company
TENGEN BIOMEDICAL CO.,2,company
STEELWORKER CHARITABLE AND EDUCATIONAL ORGANIZATION,2,nonprofit
NJEDge.Net,2,nonprofit
U.S. NATIONAL Institute ON DEAFNESS/COMM DISR,2,nonprofit
OWLFLY,2,company
USC,2,education
Shannon Point Marine Center,2,education
Human Frontier Science Program,2,funder
Internationales Institut fur angewandte Systemanalyse,2,nonprofit
National Girls Collaborative,2,nonprofit
Farallon Institute for Advanced Ecosystem Research,2,nonprofit
Department of Computer Science and Engineering,2,education
RBHS-ROBERT WOOD JOHNSON,2,education
Carnegie Institute,2,nonprofit
UCF,2,education
GREAT LAKES NEUROTECHNOLOGIES,2,company
ADIALANTE L.L.C.,2,company
Department of Energy,2,government
Texas A&M AgriLife Extension Service,2,other
CORD,2,nonprofit
CSU Channel Islands,2,education
Institute for Geophysics,2,education
Battelle Memorial Insitute,2,nonprofit
BLACK IN MARINE SCIENCE,2,nonprofit
LSU,2,education
Boyce Thompson Institute for Plant Research,2,nonprofit
Sloan Kettering Institute For Cancer Research,2,nonprofit
Tides Center,2,nonprofit
CERN,2,facility
UCSD,2,education
Linguistics Department,2,government
Van Andel Research Institute,2,nonprofit
Texas A&M,2,education
UMCES,2,education
UNH Biological Sciences,2,other
COGNI TRAX,2,company
NEW,2,other
SUNY,2,education
NEURANO BIOSCIENCE,2,company
NEW YORK CITY HEALTH/MENTAL HYGIENE,2,government
SOCIOS EN SALUD SUCURSAL PERU,2,nonprofit
MATERIALS NOVA LIMITED LIABILITY COMPANY,2,company
INTRAVACC B.V.,2,nonprofit
"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2,nonprofit
CHILDREN'S HOSPITALS AND CLINICS,2,healthcare
STICHTING RADBOUD UNIVERSITAIR MEDISCH CENTRUM I.O.,2,other
HAMILTON,2,other
CENTRE/SEXUAL HLTH/HIV AID RES/ZIMBABWE,2,other
AMERICAN GASTROENTEROLOGICAL ASSN/Institute,2,nonprofit
HBVTECH,2,company
CERTARA UK LIMITED,2,company
DC DEPARTMENT OF HEALTH,2,government
RETIVUE,2,company
PUBLIC HEALTH SERVICES,2,government
SWEDISH,2,other
LIFENGINE ANIMAL HEALTH LABORATORIES INCORPORATED,2,company
HART3S,2,company
LOMA LINDA VETERANS ASSN RESEARCH & EDUC,2,nonprofit
NEST GENOMICS,2,company
APPLIED BIOMEDICAL SCIENCE INSTITUTE,2,nonprofit
NATIONAL INSTITUTE OF PSYCHIATRY,2,government
NEW YORK/R&D/Center/TRANSLATIONAL Medical/THER,2,nonprofit
CENTRE DE RECHERCHE DE L'HOPITAL DOUGLAS,2,other
BIOMEDWARE,2,company
"TINY CARGO COMPANY, THE",2,other
AMERICAN SAMOA COMMUNITY CANCER COALITIO,2,nonprofit
"FIBRONOX, L.L.C.",2,other
CENTER FOR VETERANS RESEARCH AND EDUCATION,2,nonprofit
COVIRA SURGICAL,2,other
AFRICA INSTITUTE OF MENTAL AND BRAIN HEALTH,2,nonprofit
DNA MEDICINE INSTITUTE,2,nonprofit
"AIVOCODE, LLP",2,other
QUSPIN,2,company
GATS,1,company
Arizona Board of Regents for on behalf of Arizona State U,1,government
WNET,1,nonprofit
"SANParks, Kruger National Park",1,government
Kruger National Park,1,government
072051394,1,other
BFIT,1,other
Northwest Boreal Partnership,1,nonprofit
"Rutgers, The State of New Jersey",1,government
NAU-Institute for Human Development,1,nonprofit
Nez Perce Tribe,1,government
Iguazu National Park,1,government
HealthPartners Institute,1,healthcare
Johns Hopkins,1,education
Baltimore Algebra Project,1,nonprofit
JUMPCODE GENOMICS,1,company
Giant Screen Films,1,company
Department of Economics,1,government
LSU AGcenter,1,education
Department of Engineering Education,1,government
Cal Poly Pomona,1,other
Carnegie Mellon,1,other
UW Tacoma Center for Urban Waters,1,nonprofit
Mechanical Engineering Department,1,company
FIU,1,education
Arizona State UniversityAZ Board of Regents on behalf of Arizona,1,government
NASA,1,government
NCCU,1,education
FAU Harbor Branch,1,education
Fish and Wildlife Research Institute,1,nonprofit
Board of Regents,1,government
Dept. of Geoscience,1,government
California Pacific,1,healthcare
MIS Dept.,1,government
UMass Boston,1,education
"Board of Regents,",1,government
Virginia Tech,1,education
"KYEVO-MOGYLYANSKA AKADEMIYA, NATSIONALNY UNIVERSYTET",1,other
UCLA PHYSICS AND ASTRONOMY,1,education
87-0217280,1,other
"Wisconsin IceCube Particle Astrophysics Center, UW-Madison",1,nonprofit
UCLA Graduate Division,1,education
Cerro Jazmin Archaeological Project,1,nonprofit
STEM Education Center,1,nonprofit
UMBC,1,education
HELMHOLTZ-ZENTRUM POTSDAM,1,other
asee,1,other
WVU Constructed Facilities Center,1,nonprofit
Institute for Pure and Applied Mathematics,1,nonprofit
PATH,1,nonprofit
Texas A&M Ecosystem Science and Management,1,nonprofit
NEON Battelle,1,other
Isle Royale National Park,1,government
UCSB MCDB,1,education
Conn Center for Renewable Energy Research,1,company
UCLA Civil & Environmental Engineering Dept.,1,government
Arkansas Science & Technology Authority,1,government
IAB Toolik 757005,1,other
EDC,1,nonprofit
MSU Department of Forestry,1,government
Oregon Insitute of Marine Biology,1,other
Swift Coat,1,company
Plaza of the Columns Complex,1,other
NIMBLE SURGICAL INCORPORATED,1,other
"NW Campus, Nome",1,education
Precision Neuroscopics,1,company
Suite A,1,other
UCSC,1,education
ATLAS AI P.B.C.,1,other
Center for Limnology,1,nonprofit
Department of Ecology and Conservation Biology,1,government
Rhaeos,1,company
Smithsonian Institution (STRI),1,other
Department of Anthropology,1,government
Climate Conservation,1,other
Geological Survey-Denver,1,other
919-966-5433,1,other
5 POINT APP,1,other
UCI,1,education
ALASKA STATE DEPARTMENT OF HLTH-SOC SVCS,1,government
UC Davis,1,education
Trivium Consulting,1,company
NATIONAL SCIENCE POLICY NETWORK,1,other
IU,1,education
EDUCATE MAINE,1,nonprofit
"The Mind Research Network, a division of LBRI",1,government
"Scripps Institution of Oceanography, UC San Diego",1,education
CLINICAL DATA INTERCHANGE STAND/CONSORT,1,company
Universite Cote DAzure,1,other
qBraid Co.,1,company
No organization,1,other
"Woods Hole Oceanographic Institution, Quissett campus",1,education
SUNY Oswego,1,education
IEEE International Conference on Quantum Computing and Eng.,1,nonprofit
"SEGMEDIX, CO.",1,company
Pines Local Solution,1,other
ICOSA COMPUTING,1,other
LOGISTICS MANAGEMENT INSTITUTE,1,nonprofit
Massachusetts Eye and Ear,1,healthcare
WHITE MOUNTAIN APACHE TRIBE,1,government
Fred Hutchinson Cancer Research Center,1,nonprofit
Department of Computer Science,1,government
BIOLINQ INCORPORATED,1,other
"Field, Elizabeth Catherine",1,other
"Prokhorov, Andrei",1,other
Physics- U of Minnesota,1,education
CSU Long Beach,1,education
UCLA Computer Science Department,1,education
Institute for Social Research and Data Innovation,1,company
UW-Madison,1,education
"Naff, Keaton Thomas",1,other
UC Irvine,1,education
NASA GSFC,1,government
"Department of Spanish, Italian, and Portuguese",1,government
3 I,1,other
KATE ALLYN PROSTHETIC RESEARCH,1,other
U. Colorado Boulder,1,education
"Lamarche, Alicia Mae",1,other
UCLA Department of Mathematics,1,government
RAND Gulf States Policy Institute,1,nonprofit
U of Hawaii West Oahu,1,education
Smithsonian Institution,1,nonprofit
Texas A&M-Commerce,1,education
The Echinacea Project,1,nonprofit
Rio Bravo Conservation and Management Area,1,other
Echinacea Project,1,nonprofit
Kauai Shrimp,1,other
Olin Hall,1,other
IUPUI,1,education
Digital World Biology,1,nonprofit
USC; Aerospace & Mechanical Engineering Dept,1,government
SUBR,1,education
U.Colorado Boulder,1,education
Morehouse,1,education
CERETYPE NEUROMEDICINE IN,1,other
Guangdong Provincial Cardiovascular Institute,1,nonprofit
Uni MD Centr for Env Science,1,education
Proyecto Itza,1,other
Strategic Energy Innovations,1,nonprofit
Linguistics,1,other
"CSU, Chico",1,education
FAMU-FSU RIDER Center,1,nonprofit
Virginia Tech National Capital Region,1,other
Danish Center for Hadal Research/Max Planck Institute for MM,1,nonprofit
Department of Sociology,1,government
